-18 [0, -25, -50, -50, -50, -50, '-25', -50]
-17 [0, -25, -50, -50, -50, -50, '-50', -50]
-18 [0, -25, -50, -50, -50, -50, '-25', -50]
-18 [0, -25, -50, -50, -50, -50, '-50', -50]
-17 [0, -25, -50, -50, -50, -50, '50', -50]
-18 [0, -25, -50, -50, -50, -50, '0', -50]
-18 [0, -25, -50, -50, -50, -50, '25', -50]
-16 [0, -25, -50, -50, -50, -50, '-50', -50]
-18 [0, -25, -50, -50, -50, -50, '25', -50]
-16 [0, -25, -50, -50, -50, -50, '25', -50]
-18 [0, -25, -50, -50, -50, -50, '50', -50]
-18 [0, -25, -50, -50, -50, -50, '0', -50]
-18 [0, -25, -50, -50, -50, -50, '25', -50]
-18 [0, -25, -50, -50, -50, -50, '0', -50]
-18 [0, -25, -50, -50, -50, -50, '50', -50]
-18 [0, -25, -50, -50, -50, -50, '-25', -50]
-17 [0, -25, -50, -50, -50, -50, '50', -50]
-18 [0, -25, -50, -50, -50, -50, '0', -50]
-16 [0, -25, -50, -50, -50, -50, '50', -50]
-17 [0, -25, -50, -50, -50, -50, '25', -50]
-18 [0, -25, -50, -50, -50, -50, '-25', -50]
-18 [25, -25, -50, -50, -50, -50, '-25', -50]
-18 [25, -25, -50, -50, -50, -50, '-50', -50]
-18 [25, -25, -50, -50, -50, -50, '-25', -50]
-18 [25, -25, -50, -50, -50, -50, '-50', -50]
-18 [25, -25, -50, -50, -50, -50, '-50', -50]
-18 [25, -25, -50, -50, -50, -50, '25', -50]
-16 [25, -25, -50, -50, -50, -50, '0', -50]
-18 [25, -25, -50, -50, -50, -50, '0', -50]
-18 [25, -25, -50, -50, -50, -50, '-50', -50]
-18 [25, -25, -50, -50, -50, -50, '-25', -50]
-18 [25, -25, -50, -50, -50, -50, '-50', -50]
-18 [25, -25, -50, -50, -50, -50, '25', -50]
-18 [25, -25, -50, -50, -50, -50, '25', -50]
-17 [25, -25, -50, -50, -50, -50, '50', -50]
-16 [25, -25, -50, -50, -50, -50, '50', -50]
-17 [25, -25, -50, -50, -50, -50, '50', -50]
-18 [25, -25, -50, -50, -50, -50, '-25', -50]
-17 [25, -25, -50, -50, -50, -50, '0', -50]
-18 [25, -25, -50, -50, -50, -50, '0', -50]
-16 [25, -25, -50, -50, -50, -50, '0', -50]
-17 [25, -25, -50, -50, -50, -50, '50', -50]
-15 [25, -25, -50, -50, -50, -50, '25', -50]
-16 [25, -25, -50, -50, -50, -50, '50', -50]
-18 [25, -25, -50, -50, -50, -50, '-25', -50]
-18 [50, -25, -50, -50, -50, -50, '-50', -50]
-18 [50, -25, -50, -50, -50, -50, '-50', -50]
-15 [25, -25, -50, -50, -50, -50, '25', -50]
-18 [50, -25, -50, -50, -50, -50, '-25', -50]
-18 [50, -25, -50, -50, -50, -50, '-50', -50]
-17 [50, -25, -50, -50, -50, -50, '-25', -50]
-18 [50, -25, -50, -50, -50, -50, '0', -50]
-18 [50, -25, -50, -50, -50, -50, '-50', -50]
-18 [50, -25, -50, -50, -50, -50, '25', -50]
-18 [50, -25, -50, -50, -50, -50, '50', -50]
-18 [50, -25, -50, -50, -50, -50, '50', -50]
-16 [50, -25, -50, -50, -50, -50, '0', -50]
-16 [50, -25, -50, -50, -50, -50, '-50', -50]
-18 [50, -25, -50, -50, -50, -50, '-25', -50]
-18 [50, -25, -50, -50, -50, -50, '0', -50]
-15 [-50, -50, -50, -50]
-16 [-25, -50, -50, -50]
-17 [0, -50, -50, -50]
-18 [25, -50, -50, -50]
-18 [50, -50, -50, -50]
-10 [-50, -25, -50, -50]
-11 [-25, -25, -50, -50]
-18 [0, -25, -50, -50]
-18 [25, -25, -50, -50]
-18 [50, -25, -50, -50]
-2 [-50, 0, -50, -50]
-14 [-25, 0, -50, -50]
-15 [0, 0, -50, -50]
-18 [25, 0, -50, -50]
-18 [50, 0, -50, -50]
-14 [-50, 25, -50, -50]
-11 [-25, 25, -50, -50]
-16 [0, 25, -50, -50]
-18 [25, 25, -50, -50]
-18 [50, 25, -50, -50]
-8 [-50, 50, -50, -50]
-10 [-25, 50, -50, -50]
-16 [0, 50, -50, -50]
-18 [25, 50, -50, -50]
-18 [50, 50, -50, -50]
-11 [-50, -50, -25, -50]
-14 [-25, -50, -25, -50]
-18 [0, -50, -25, -50]
-18 [25, -50, -25, -50]
-18 [50, -50, -25, -50]
-10 [-50, -25, -25, -50]
-16 [-25, -25, -25, -50]
-17 [0, -25, -25, -50]
-17 [25, -25, -25, -50]
-18 [50, -25, -25, -50]
-5 [-50, 0, -25, -50]
-15 [-25, 0, -25, -50]
-18 [0, 0, -25, -50]
-18 [25, 0, -25, -50]
-18 [50, 0, -25, -50]
-14 [-50, 25, -25, -50]
-14 [-25, 25, -25, -50]
-13 [0, 25, -25, -50]
-17 [25, 25, -25, -50]
-18 [50, 25, -25, -50]
-8 [-50, 50, -25, -50]
-12 [-25, 50, -25, -50]
-18 [0, 50, -25, -50]
-18 [25, 50, -25, -50]
-18 [50, 50, -25, -50]
-10 [-50, -50, 0, -50]
-11 [-25, -50, 0, -50]
-17 [0, -50, 0, -50]
-18 [25, -50, 0, -50]
-18 [50, -50, 0, -50]
-7 [-50, -25, 0, -50]
-12 [-25, -25, 0, -50]
-18 [0, -25, 0, -50]
-18 [25, -25, 0, -50]
-18 [50, -25, 0, -50]
-10 [-50, 0, 0, -50]
-9 [-25, 0, 0, -50]
-18 [0, 0, 0, -50]
-18 [25, 0, 0, -50]
-18 [50, 0, 0, -50]
-13 [-50, 25, 0, -50]
-14 [-25, 25, 0, -50]
-17 [0, 25, 0, -50]
-17 [25, 25, 0, -50]
-17 [50, 25, 0, -50]
-13 [-50, 50, 0, -50]
-11 [-25, 50, 0, -50]
-17 [0, 50, 0, -50]
-18 [25, 50, 0, -50]
-18 [50, 50, 0, -50]
-11 [-50, -50, 25, -50]
-13 [-25, -50, 25, -50]
-17 [0, -50, 25, -50]
-18 [25, -50, 25, -50]
-18 [50, -50, 25, -50]
-13 [-50, -25, 25, -50]
-10 [-25, -25, 25, -50]
-18 [0, -25, 25, -50]
-18 [25, -25, 25, -50]
-18 [50, -25, 25, -50]
-9 [-50, 0, 25, -50]
-15 [-25, 0, 25, -50]
-17 [0, 0, 25, -50]
-18 [25, 0, 25, -50]
-18 [50, 0, 25, -50]
-12 [-50, 25, 25, -50]
-13 [-25, 25, 25, -50]
-17 [0, 25, 25, -50]
-18 [25, 25, 25, -50]
-18 [50, 25, 25, -50]
-13 [-50, 50, 25, -50]
-13 [-25, 50, 25, -50]
-18 [0, 50, 25, -50]
